UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1660521600,267,cadli,BTC-USD,24313.1832718628,25180.3761737833,23805.2086013221,24097.6857184209,1660521600,1660607940,24293.9598064657,25180.3761737833,1660533420,23805.2086013221,1660605180,24097.6857184209,1440,860604.394435105,20909270227.1348,461977.538017071,11228997328.3802,117197.954607954,2849731110.67576,65267.54337414,1586442222.27707
DAY,1660608000,267,cadli,BTC-USD,24097.6857184209,24243.2178985463,23705.0718849611,23867.6750691758,1660608000,1660694340,24096.5495265313,24243.2178985463,1660613520,23705.0718849611,1660662300,23867.6750691758,1440,647111.527152507,15503653605.9903,339359.255797594,8131049418.8284,80590.18239168,1929255852.21175,46681.36995145,1117152514.82623
DAY,1660694400,267,cadli,BTC-USD,23867.6750691758,24482.5972062864,23198.9875907955,23346.2252262025,1660694400,1660780740,23858.640722718,24482.5972062864,1660719600,23198.9875907955,1660766700,23346.2252262025,1440,795707.472288072,18870853521.9043,409342.515144626,9703901419.71552,104643.240824432,2479098091.06885,59219.39272953,1401875579.05075
DAY,1660780800,267,cadli,BTC-USD,23346.2252262025,23749.3034838744,23146.9743303322,23203.1358520417,1660780800,1660867140,23325.2653901928,23749.3034838744,1660799820,23146.9743303322,1660864980,23203.1358520417,1440,682110.760872483,15961618086.9102,261753.798212938,6128820111.9656,67341.606361483,1576292819.75877,31925.95100258,747031251.936122
DAY,1660867200,267,cadli,BTC-USD,23203.1358520417,23203.1358520417,20832.4059775829,20842.0781597212,1660867200,1660953540,23172.0497321829,23175.0950160428,1660867260,20832.4059775829,1660953300,20842.0781597212,1440,1231947.93040358,26829002790.0149,609697.763243344,13263311932.6646,192696.22117837,4184048518.8259,108922.98559682,2362929316.74933
DAY,1660953600,267,cadli,BTC-USD,20842.0781597212,21388.2327776551,20808.3721306918,21143.9369934609,1660953600,1661039940,20854.7333865525,21388.2327776551,1660981680,20808.3721306918,1661029320,21143.9369934609,1440,1085662.87696673,22981056326.9817,340120.801986934,7197078401.06248,107609.93563188,2275521032.96005,45321.22584195,957557538.632923
DAY,1661040000,267,cadli,BTC-USD,21143.9369934609,21777.2001488285,21086.8980178126,21517.7631751083,1661040000,1661126340,21149.5658380591,21777.2001488285,1661080020,21086.8980178126,1661066340,21517.7631751083,1440,1009293.62401788,21585839600.3008,291197.165471552,6234329438.9557,95984.741682182,2053702940.04399,36693.33124495,785699661.945946
DAY,1661126400,267,cadli,BTC-USD,21517.7631751083,21517.7631751083,20897.1434965935,21407.2600532749,1661126400,1661212740,21484.6703662751,21484.6703662751,1661126400,20897.1434965935,1661156820,21407.2600532749,1440,1184134.6614866,25146053672.6753,421510.388659701,8954594099.6278,125945.456905696,2675091353.94679,57180.6908256,1213778558.56418
DAY,1661212800,267,cadli,BTC-USD,21407.2600532749,21652.1218531866,20937.5063833187,21519.0765615916,1661212800,1661299140,21427.1938595792,21652.1218531866,1661263860,20937.5063833187,1661235060,21519.0765615916,1440,1115932.76124492,23884818770.3873,395915.021105928,8473301629.24073,131842.472973249,2821489570.31289,65014.83054678,1391776950.4155
DAY,1661299200,267,cadli,BTC-USD,21519.0765615916,21882.72448034,21165.6382169232,21367.5124035899,1661299200,1661385540,21520.5765418758,21882.72448034,1661367660,21165.6382169232,1661309640,21367.5124035899,1440,1080572.44310822,23201083145.4402,383981.528679534,8246027327.2656,156348.036903281,3357468848.3849,96474.75777583,2071530389.62948
DAY,1661385600,267,cadli,BTC-USD,21367.5124035899,21790.5620337305,21347.3015946503,21566.8225731527,1661385600,1661471940,21381.3348509714,21790.5620337305,1661414760,21347.3015946503,1661386440,21566.8225731527,1440,1010193.7446406,21825913782.2243,364275.653483095,7872764828.54635,146955.417228626,3174234229.34897,95747.16760862,2068112422.09762
DAY,1661472000,267,cadli,BTC-USD,21566.8225731527,21784.475693238,20128.9255054828,20252.6953138933,1661472000,1661558340,21521.5322848383,21784.475693238,1661518980,20128.9255054828,1661557680,20252.6953138933,1440,1348621.44105014,28466872388.4539,566391.045566986,11962983523.1176,191007.61223076,4025712659.11609,105734.98866672,2225701474.50233
DAY,1661558400,267,cadli,BTC-USD,20252.6953138933,20336.7849147785,19851.9115518488,20038.9379990459,1661558400,1661644740,20230.8832998714,20336.7849147785,1661560440,19851.9115518488,1661617380,20038.9379990459,1440,1025111.05479237,20621595266.0115,298605.890272609,6007244936.52764,103122.88225541,2073057146.45779,41566.63671817,835344636.827922
DAY,1661644800,267,cadli,BTC-USD,20038.9379990459,20134.5435785067,19557.6067702818,19558.4102774165,1661644800,1661731140,20019.3335011441,20134.5435785067,1661704020,19557.6067702818,1661731080,19558.4102774165,1440,878922.022233403,17553445198.1343,252863.260784593,5047181264.44619,88852.95157993,1773158985.51591,36622.88669254,729956563.247177
DAY,1661731200,267,cadli,BTC-USD,19558.4102774165,20401.1373904799,19558.4102774165,20301.3635488976,1661731200,1661817540,19744.2194722211,20401.1373904799,1661789100,19601.9715261649,1661732760,20301.3635488976,1440,1004010.72609407,20112577655.2482,407253.686497119,8152096170.10891,124591.967704437,2495168722.98568,65149.56389395,1304693064.43305
DAY,1661817600,267,cadli,BTC-USD,20301.3635488976,20547.1960084836,19593.7661891489,19803.7122711205,1661817600,1661903940,20275.5646941973,20547.1960084836,1661844720,19593.7661891489,1661877960,19803.7122711205,1440,1257231.6400235,25246652999.7614,592523.652890099,11877785126.793,243113.517086066,4851528978.55702,170992.30533085,3403329405.45242
DAY,1661904000,267,cadli,BTC-USD,19803.7122711205,20434.499466105,19803.7122711205,20050.2306826139,1661904000,1661990340,19821.2684431236,20434.499466105,1661926380,19805.6359673395,1661904180,20050.2306826139,1440,1231800.61621095,24872762381.3142,508159.281899258,10268368779.2807,146863.814569063,2966212311.67224,73928.23845642,1493062706.4074
DAY,1661990400,267,cadli,BTC-USD,20050.2306826139,20542.3800157126,19598.5371825291,20132.4351278389,1661990400,1662076740,20019.2817680012,20542.3800157126,1661994120,19598.5371825291,1662051120,20132.4351278389,1440,1184868.74402923,23637441404.9427,428082.922458113,8539583366.49423,114845.03099667,2290141469.54503,44553.04234184,888080281.137306
DAY,1662076800,267,cadli,BTC-USD,20132.4351278389,20419.3944698361,19776.6366831701,19958.1546339531,1662076800,1662163140,20123.3318833264,20419.3944698361,1662129720,19776.6366831701,1662142500,19958.1546339531,1440,1183230.09531649,23776922662.2907,418799.924106949,8423089495.3831,107749.95723811,2165893037.8148,38753.12789618,779337304.223542
DAY,1662163200,267,cadli,BTC-USD,19958.1546339531,20041.8840466114,19671.9343364484,19839.1957300156,1662163200,1662249540,19952.35429849,20041.8840466114,1662165840,19671.9343364484,1662232260,19839.1957300156,1440,862619.632958247,17120240298.6376,230779.236700854,4578529807.9986,61344.689985033,1216894313.78536,16430.71326437,325755211.215832
DAY,1662249600,267,cadli,BTC-USD,19839.1957300156,20008.690210459,19592.9921828685,19998.2496914502,1662249600,1662335940,19830.003641528,20008.690210459,1662334920,19592.9921828685,1662278520,19998.2496914502,1440,998979.251349258,19774065862.631,243507.219183404,4823530170.68509,79479.805713593,1574328291.75412,19173.34347771,379961177.523842
DAY,1662336000,267,cadli,BTC-USD,19998.2496914502,20049.1027387257,19659.3186737809,19792.1636053288,1662336000,1662422340,20017.4978699301,20049.1027387257,1662336180,19659.3186737809,1662376680,19792.1636053288,1440,1064222.60538147,21070224059.6196,353859.452002701,7005506831.39329,83501.494666552,1652956480.76303,24802.95694254,490961400.953247
DAY,1662422400,267,cadli,BTC-USD,19792.1636053288,20117.9632270519,18723.7583197526,18790.9069153409,1662422400,1662508740,19761.6152511723,20117.9632270519,1662426180,18723.7583197526,1662495000,18790.9069153409,1440,1455513.38337971,28430601793.6425,638998.118817402,12486414678.2494,185512.358272728,3614708675.49845,83868.08746917,1631526247.61287
DAY,1662508800,267,cadli,BTC-USD,18790.9069153409,19436.8399889466,18592.0282423359,19282.7869813442,1662508800,1662595140,18804.0080150294,19436.8399889466,1662584580,18592.0282423359,1662517500,19282.7869813442,1440,1354277.66905305,25630195143.0088,530065.667528865,10032322342.0178,132542.046121966,2508626486.29989,55503.45265957,1051165324.52612
DAY,1662595200,267,cadli,BTC-USD,19282.7869813442,19441.8106304918,19047.4897670296,19311.0985224782,1662595200,1662681540,19302.0198020578,19441.8106304918,1662668160,19047.4897670296,1662642660,19311.0985224782,1440,1242344.49407204,23920373100.761,475085.957076209,9141876574.99488,131422.406847494,2528546735.62903,59764.47470252,1149413750.90483
DAY,1662681600,267,cadli,BTC-USD,19311.0985224782,21539.4395887747,19311.0985224782,21508.8854687482,1662681600,1662767940,19346.6978859775,21539.4395887747,1662767880,19326.8414498334,1662681900,21508.8854687482,1440,1640871.6064044,34109218754.4291,779462.18602078,16230592811.0338,189627.948965988,3938227866.9554,96481.29108061,2005280204.40878
DAY,1662768000,267,cadli,BTC-USD,21508.8854687482,21795.7311096633,21144.5556887018,21655.6317589473,1662768000,1662854340,21374.0127010606,21795.7311096633,1662850680,21144.5556887018,1662818160,21655.6317589473,1440,1251338.575383,26786770591.6574,518279.116195129,11098800901.2236,106525.914127686,2281731118.32891,45003.87609767,964331790.281823
DAY,1662854400,267,cadli,BTC-USD,21655.6317589473,21866.5306517855,21365.4283267382,21819.8741310598,1662854400,1662940740,21640.8841187079,21866.5306517855,1662882960,21365.4283267382,1662878040,21819.8741310598,1440,1020424.96822232,22042383108.6786,477876.604558032,10327694329.105,78890.62733155,1704788498.80858,31212.53180708,674520429.444274
DAY,1662940800,267,cadli,BTC-USD,21819.8741310598,22469.8615082658,21599.1503349666,22397.7556323332,1662940800,1663027140,21844.6862413997,22469.8615082658,1663012920,21599.1503349666,1662954060,22397.7556323332,1440,1555529.68806005,34429636474.8677,726740.893708102,16079425487.3271,157507.104406202,3486058152.85302,74104.46996756,1639493877.17677
DAY,1663027200,267,cadli,BTC-USD,22397.7556323332,22641.1795584025,19946.8612787411,20175.3568576726,1663027200,1663113540,22339.1326901222,22641.1795584025,1663071900,19946.8612787411,1663105380,20175.3568576726,1440,1761194.4973371,37856712215.0557,850298.996775091,18287891446.1855,217553.054346922,4665176214.17493,107043.22657824,2292855767.8375
DAY,1663113600,267,cadli,BTC-USD,20175.3568576726,20513.7460560012,19665.2156447798,20230.1026493397,1663113600,1663199940,20244.9910281973,20513.7460560012,1663122300,19665.2156447798,1663179420,20230.1026493397,1440,1391942.7133299,28136353495.581,614126.732159092,12409469062.2797,142057.286983311,2867317930.77386,65198.38558727,1314870873.51752
DAY,1663200000,267,cadli,BTC-USD,20230.1026493397,20324.1279783619,19545.1796951718,19703.3300886564,1663200000,1663286340,20199.018105235,20324.1279783619,1663201620,19545.1796951718,1663255020,19703.3300886564,1440,1329856.06266557,26563909517.7554,570645.26650945,11403573811.0297,137379.570665019,2743844911.0565,60040.22794909,1198526695.30762
DAY,1663286400,267,cadli,BTC-USD,19703.3300886564,19885.9448038564,19361.5707364822,19801.2191593224,1663286400,1663372740,19713.52676594,19885.9448038564,1663328700,19361.5707364822,1663349280,19801.2191593224,1440,1209433.4483267,23819731307.2531,520473.470518077,10243256143.6984,121558.751556769,2391141863.01351,59165.42291713,1162897371.08133
DAY,1663372800,267,cadli,BTC-USD,19801.2191593224,20174.3391758093,19759.5246286657,20116.1287453886,1663372800,1663459140,19797.6463032179,20174.3391758093,1663434540,19759.5246286657,1663417080,20116.1287453886,1440,975032.907392258,19453454711.3105,331422.762002224,6615974071.28937,86965.988173064,1736152234.35821,36662.94078729,732462105.676014
DAY,1663459200,267,cadli,BTC-USD,20116.1287453886,20119.5487476841,19359.7069183044,19419.2114488315,1663459200,1663545540,20119.5487476841,20119.5487476841,1663459200,19359.7069183044,1663538940,19419.2114488315,1440,1151457.48750132,22827184314.6645,449155.819191208,8886982516.11558,92544.061903154,1830420240.84506,35239.17144494,695025359.428904
DAY,1663545600,267,cadli,BTC-USD,19419.2114488315,19668.6325836499,18360.249485488,19543.3565534122,1663545600,1663631940,19412.1854618778,19668.6325836499,1663628160,18360.249485488,1663569900,19543.3565534122,1440,1538582.98206181,29195768362.5716,727104.465748651,13792553016.9133,180734.00866327,3429716831.01562,87255.01794406,1658202823.70139
DAY,1663632000,267,cadli,BTC-USD,19543.3565534122,19605.7589513136,18768.9641010789,18878.7016110801,1663632000,1663718340,19528.888082206,19605.7589513136,1663632360,18768.9641010789,1663696740,18878.7016110801,1440,1337056.57859484,25610750572.3946,597787.820021288,11446717189.3821,146383.886496491,2801391136.9581,65853.96026202,1259397317.90814
DAY,1663718400,267,cadli,BTC-USD,18878.7016110801,19712.5299820972,18266.76515233,18490.9294708545,1663718400,1663804740,18845.6901276154,19712.5299820972,1663785960,18266.76515233,1663798680,18490.9294708545,1440,1359685.43357291,25874094081.6096,785371.695320211,14969194061.8422,234040.44286195,4461214368.21765,133365.94025286,2542248725.949
DAY,1663804800,267,cadli,BTC-USD,18490.9294708545,19501.2133549516,18394.4726757241,19409.7534540829,1663804800,1663891140,18538.277593528,19501.2133549516,1663888140,18394.4726757241,1663808100,19409.7534540829,1440,1147339.9590139,21816501223.4473,747533.974219942,14206000138.6102,180467.968695756,3432173216.69012,107349.45140874,2042177163.35036
